Nome da música,Artistas,Data do top 50,Popularidade
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2023-08-23,100
Cruel Summer,Taylor Swift,2023-08-23,99
Paint The Town Red,Doja Cat,2023-08-23,92
LALA,Myke Towers,2023-08-23,99
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-08-23,98
Dance The Night (From Barbie The Album),Dua Lipa,2023-08-23,97
vampire,Olivia Rodrigo,2023-08-23,98
Columbia,Quevedo,2023-08-23,97
fukumean,Gunna,2023-08-23,96
QLONA,"KAROL G, Peso Pluma",2023-08-23,80
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice, Aqua",2023-08-23,95
Sprinter,"Dave, Central Cee",2023-08-23,96
Daylight,David Kushner,2023-08-23,96
Super Shy,NewJeans,2023-08-23,95
WHERE SHE GOES,Bad Bunny,2023-08-23,96
bad idea right?,Olivia Rodrigo,2023-08-23,90
Kill Bill,SZA,2023-08-23,92
As It Was,Harry Styles,2023-08-23,91
Flowers,Miley Cyrus,2023-08-23,94
(It Goes Like) Nanana - Edit,Peggy Gou,2023-08-23,94
MI EX TENÍA RAZÓN,KAROL G,2023-08-23,81
Classy 101,"Feid, Young Miko",2023-08-23,95
LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",2023-08-23,94
Love Me Again,V,2023-08-23,92
I Wanna Be Yours,Arctic Monkeys,2023-08-23,94
La Bebe - Remix,"Yng Lvcas, Peso Pluma",2023-08-23,96
Like Crazy,Jimin,2023-08-23,94
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",2023-08-23,93
august,Taylor Swift,2023-08-23,92
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023-08-23,89
MELTDOWN (feat. Drake),"Travis Scott, Drake",2023-08-23,94
Primera Cita,Carin Leon,2023-08-23,84
Style,Taylor Swift,2023-08-23,83
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",2023-08-23,94
Anti-Hero,Taylor Swift,2023-08-23,93
Blank Space,Taylor Swift,2023-08-23,83
Calm Down (with Selena Gomez),"Rema, Selena Gomez",2023-08-23,82
Cupid - Twin Ver.,FIFTY FIFTY,2023-08-23,95
Rich Men North of Richmond,Oliver Anthony Music,2023-08-23,85
Last Night,Morgan Wallen,2023-08-23,88
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2023-08-23,93
Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",2023-08-23,83
With You,AP Dhillon,2023-08-23,81
Die For You,The Weeknd,2023-08-23,90
un x100to,"Grupo Frontera, Bad Bunny",2023-08-23,80
I KNOW ?,Travis Scott,2023-08-23,92
K-POP,"Travis Scott, Bad Bunny, The Weeknd",2023-08-23,92
Holanda,Jhayco,2023-08-23,87
TULUM,"Peso Pluma, Grupo Frontera",2023-08-23,93
I'm Good (Blue),"David Guetta, Bebe Rexha",2023-08-23,93
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2023-08-24,100
Cruel Summer,Taylor Swift,2023-08-24,99
Paint The Town Red,Doja Cat,2023-08-24,93
LALA,Myke Towers,2023-08-24,99
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-08-24,98
Dance The Night (From Barbie The Album),Dua Lipa,2023-08-24,97
vampire,Olivia Rodrigo,2023-08-24,98
Columbia,Quevedo,2023-08-24,97
fukumean,Gunna,2023-08-24,96
QLONA,"KAROL G, Peso Pluma",2023-08-24,81
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice, Aqua",2023-08-24,95
Sprinter,"Dave, Central Cee",2023-08-24,96
Daylight,David Kushner,2023-08-24,96
Super Shy,NewJeans,2023-08-24,95
WHERE SHE GOES,Bad Bunny,2023-08-24,96
As It Was,Harry Styles,2023-08-24,91
Kill Bill,SZA,2023-08-24,92
Flowers,Miley Cyrus,2023-08-24,94
bad idea right?,Olivia Rodrigo,2023-08-24,91
(It Goes Like) Nanana - Edit,Peggy Gou,2023-08-24,94
Classy 101,"Feid, Young Miko",2023-08-24,95
MI EX TENÍA RAZÓN,KAROL G,2023-08-24,82
LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",2023-08-24,94
La Bebe - Remix,"Yng Lvcas, Peso Pluma",2023-08-24,96
I Wanna Be Yours,Arctic Monkeys,2023-08-24,94
Love Me Again,V,2023-08-24,93
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",2023-08-24,93
Like Crazy,Jimin,2023-08-24,94
august,Taylor Swift,2023-08-24,92
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023-08-24,89
Primera Cita,Carin Leon,2023-08-24,84
Style,Taylor Swift,2023-08-24,83
Blank Space,Taylor Swift,2023-08-24,83
Anti-Hero,Taylor Swift,2023-08-24,93
MELTDOWN (feat. Drake),"Travis Scott, Drake",2023-08-24,94
Rich Men North of Richmond,Oliver Anthony Music,2023-08-24,85
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",2023-08-24,94
Calm Down (with Selena Gomez),"Rema, Selena Gomez",2023-08-24,82
Cupid - Twin Ver.,FIFTY FIFTY,2023-08-24,94
Die For You,The Weeknd,2023-08-24,90
Last Night,Morgan Wallen,2023-08-24,88
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2023-08-24,93
Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",2023-08-24,83
un x100to,"Grupo Frontera, Bad Bunny",2023-08-24,81
Holanda,Jhayco,2023-08-24,87
TULUM,"Peso Pluma, Grupo Frontera",2023-08-24,93
I'm Good (Blue),"David Guetta, Bebe Rexha",2023-08-24,93
K-POP,"Travis Scott, Bad Bunny, The Weeknd",2023-08-24,92
Starboy,"The Weeknd, Daft Punk",2023-08-24,92
I KNOW ?,Travis Scott,2023-08-24,93
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2023-08-25,100
Cruel Summer,Taylor Swift,2023-08-25,99
Paint The Town Red,Doja Cat,2023-08-25,93
LALA,Myke Towers,2023-08-25,99
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-08-25,98
Dance The Night (From Barbie The Album),Dua Lipa,2023-08-25,97
vampire,Olivia Rodrigo,2023-08-25,97
